Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app12/bench_2847,,5,12.62,,4,10.79,,4,14.68,,4,16.53
QF_BV/sage/app12/bench_2869,,5,15.34,,5,12.19,,4,13.82,,4,15.89
QF_BV/sage/app12/bench_2892,,5,13.8,,4,10.7,,4,14.22,,4,16.86
QF_BV/sage/app12/bench_2914,,5,12.52,,4,9.87,,4,14.03,,4,15.25
QF_BV/sage/app12/bench_2969,,5,11.74,,4,10.55,,4,14.56,,4,15.38
QF_BV/sage/app12/bench_3,,1,2.16,,1,2.62,,1,2.65,,1,4.19
QF_BV/sage/app12/bench_3014,,5,15.45,,4,10.74,,4,12.98,,4,15.32
QF_BV/sage/app12/bench_3113,,1,3.16,,1,2.08,,1,2.42,,1,3.33
QF_BV/sage/app12/bench_3202,,5,13.04,,4,10.44,,4,14.26,,4,15.65
QF_BV/sage/app12/bench_3236,,5,12.26,,4,10.27,,4,13.83,,4,16.11
QF_BV/sage/app12/bench_3247,,5,12.15,,4,10.68,,4,14.01,,4,14.73
QF_BV/sage/app12/bench_3258,,5,12.2,,4,10.32,,4,13.34,,4,16.82
QF_BV/sage/app12/bench_3291,,5,12.12,,4,10.41,,4,13.69,,4,15.37
QF_BV/sage/app12/bench_3324,,5,14.18,,4,11.2,,4,13.57,,4,15.38
QF_BV/sage/app12/bench_3337,,5,13.29,,4,11.29,,4,13.88,,4,15.9
QF_BV/sage/app12/bench_3359,,5,23.14,,5,16.79,,5,20.75,,5,22.26
QF_BV/sage/app12/bench_336,,1,2.32,,1,1.97,,1,3.05,,1,3.38
QF_BV/sage/app12/bench_3381,,5,17.67,,5,16.1,,5,23.93,,5,24.46
QF_BV/sage/app12/bench_3392,,5,22.51,,5,15.27,,5,20.53,,5,24.27
QF_BV/sage/app12/bench_3403,,5,26.98,,4,13.43,,4,18.86,,4,19.68
QF_BV/sage/app12/bench_3414,,5,14.36,,5,13.92,,4,15.51,,5,22.22
QF_BV/sage/app12/bench_3425,,6,20.97,,5,15.29,,5,20.91,,5,23.83
QF_BV/sage/app12/bench_3447,,1,1.8,,1,2.06,,1,2.71,,1,3.93
QF_BV/sage/app12/bench_3459,,6,21.66,,5,16,,5,21.83,,5,26.41
QF_BV/sage/app12/bench_3470,,6,22.65,,5,17.77,,5,21.93,,5,28.35
QF_BV/sage/app12/bench_3481,,6,19.69,,5,16.35,,5,21.37,,5,25.59
QF_BV/sage/app12/bench_3558,,1,1.79,,1,2.04,,1,3.16,,1,3.45
QF_BV/sage/app12/bench_359,,1,2.57,,1,2.46,,1,3.13,,1,2.83
QF_BV/sage/app12/bench_3592,,6,20.36,,5,14.92,,5,19.95,,5,24.88
QF_BV/sage/app12/bench_3703,,6,17.87,,5,13.76,,5,19.36,,5,22.19
QF_BV/sage/app12/bench_381,,1,2.74,,1,2.2,,1,2.75,,1,3.18
QF_BV/sage/app12/bench_3836,,5,13.33,,5,13.42,,5,16.33,,5,21.32
QF_BV/sage/app12/bench_392,,1,1.87,,1,2.36,,1,2.69,,1,3.17
QF_BV/sage/app12/bench_4114,,6,20.51,,5,14.62,,5,18.98,,5,19.61
QF_BV/sage/app12/bench_4202,,6,17.69,,5,16.79,,5,20.26,,5,21.75
QF_BV/sage/app12/bench_448,,1,4.17,,1,2.36,,1,2.5,,1,3.29
QF_BV/sage/app12/bench_459,,1,1.74,,1,2.14,,1,2.85,,1,2.87
QF_BV/sage/app12/bench_4681,,6,18.8,,5,13.84,,5,18.68,,5,21.92
QF_BV/sage/app12/bench_5258,,6,16.85,,5,14,,5,19.73,,5,22.32
QF_BV/sage/app12/bench_5324,,6,18.45,,5,16.3,,5,18.61,,5,20.49
QF_BV/sage/app12/bench_5327,,6,17.62,,5,14.39,,5,18.62,,5,19.74
QF_BV/sage/app12/bench_5328,,6,18.34,,5,14.98,,5,17.95,,5,20.4
QF_BV/sage/app12/bench_5329,,6,17.58,,5,13.45,,5,19.42,,5,20.33
QF_BV/sage/app12/bench_5333,,6,17.77,,5,13.23,,5,20.64,,5,23.96
QF_BV/sage/app12/bench_5334,,6,18.17,,5,13.37,,5,18.55,,5,20.88
QF_BV/sage/app12/bench_5335,,6,16.12,,5,12.86,,5,18.61,,5,23.11
QF_BV/sage/app12/bench_5348,,6,16.48,,5,14.16,,5,17.85,,5,20.91
QF_BV/sage/app12/bench_5349,,6,16.48,,5,14.19,,5,18.54,,5,22.07
QF_BV/sage/app12/bench_5350,,6,16.05,,5,14.19,,5,18.01,,5,21.59
QF_BV/sage/app12/bench_5354,,6,17.73,,5,14.13,,5,18.33,,5,20.85
QF_BV/sage/app12/bench_5361,,6,18.23,,5,15.43,,5,19.84,,5,23.78
QF_BV/sage/app12/bench_5365,,6,17.04,,5,16.5,,5,18.4,,5,20.35
QF_BV/sage/app12/bench_5367,,7,19.57,,6,21.13,,6,24.55,,6,25.47
QF_BV/sage/app12/bench_5369,,7,25.41,,6,18.83,,7,28.73,,6,26.63
QF_BV/sage/app12/bench_5370,,6,20.34,,6,19.59,,6,27.62,,6,26.74
QF_BV/sage/app12/bench_5371,,6,19.05,,5,14.82,,5,20.02,,5,26.43
QF_BV/sage/app12/bench_5372,,7,20.01,,5,13.7,,6,21.59,,5,22.55
QF_BV/sage/app12/bench_5373,,6,18.93,,5,15.93,,5,21.61,,5,25.22
QF_BV/sage/app12/bench_5377,,7,23.86,,6,19.12,,6,25.81,,6,28.65
QF_BV/sage/app12/bench_5378,,7,22.81,,6,18.78,,6,23.84,,5,24.43
QF_BV/sage/app12/bench_5379,,7,21.69,,6,20.08,,6,24.1,,6,30.32
QF_BV/sage/app12/bench_5390,,6,28.07,,5,17.59,,6,23.25,,6,26.22
QF_BV/sage/app12/bench_5401,,8,21.05,,6,16.56,,6,22.26,,5,21.08
