Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_kill.close_stdout_set_file_name.il.dwp,,8,0.95,,4,5.53,,8,0.58,,6,0.82
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_hostid.set_quoting_style.il.fse-bfs,,3,1.36,,135,346.83,,3,1.27,,3,1.47
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.bkm_scale.il.fse-bfs,,3,3.47,,85,24.65,,7,7.18,,4,4.2
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.set_quoting_style.il.fse-bfs,,3,1.62,,47,52.9,,3,1.23,,3,1.19
QF_ABV/dwp_formulas/try3_true_functions_dwp_echo.set_char_quoting.il.dwp,,7,0.51,,6,15.55,,6,0.24,,152,6.02
QF_ABV/dwp_formulas/try3_true_functions_dwp_expr.set_char_quoting.il.dwp,,5,0.42,,6,18.05,,9,0.38,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_char_quoting.il.dwp,,9,0.63,,6,16.54,,8,0.35,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_whoami.set_quoting_style.il.dwp,,4,0.18,,6,1.91,,8,0.13,,--,--
QF_ABV/dwp_formulas/try4_true_functions_dwp_nl.get_quoting_style.il.dwp,,5,0.19,,7,4.43,,10,0.21,,440,12.23
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_echo.set_quoting_style.il.dwp,,3,7.03,,3,73.38,,3,21.79,,3,10.66
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_factor.close_stdout_set_file_name.il.dwp,,3,0.59,,2,3.22,,3,0.38,,3,0.48
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_touch.close_stdout_set_file_name.il.fse-bfs,,3,0.41,,3,0.42,,3,0.31,,3,0.43
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_vdir.strmode.il.fse-bfs,,3,14.31,,7,15.42,,3,13.57,,3,18.62
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_mkdir.set_quoting_style.il.dwp,,6,0.23,,7,4.53,,3,0.08,,603,27.25
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.rev_xstrcoll_size.il.dwp,,3,8.19,,3,36.24,,4,10.41,,4,6.96
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.strcmp_ctime.il.dwp,,3,5.45,,3,17.04,,4,7.04,,3,4.05
QF_ABV/dwp_formulas/try5_small_noof_functions_wp_stat.set_char_quoting.il.wp,,6,9.87,,16,64.7,,7,9.18,,5,6.04
QF_ABV/egt/egt-0474,,2,0.18,,--,--,,2,0.16,,2,0.23
QF_ABV/egt/egt-1526,,2,0.23,,--,--,,2,0.18,,2,0.26
QF_ABV/egt/egt-1550,,2,0.2,,--,--,,3,0.3,,2,0.28
QF_ABV/egt/egt-4211,,2,0.21,,--,--,,2,0.2,,2,0.29
QF_ABV/egt/egt-6650,,2,0.13,,--,--,,2,0.08,,2,0.14
QF_ABV/egt/egt-7155,,2,0.24,,--,--,,3,0.25,,2,0.25
QF_ABV/platania/no_init_simple_member/no_init_simple_member2,,2,0.26,,--,--,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021458_0x7c80a939_00,,3,2.4,,10,6.03,,3,1.51,,3,1.84
QF_ABV/stp_samples/run_00000.trace.cond_021487_0x7c80aacd_00,,3,3.07,,4,2.58,,3,1.4,,3,1.82
QF_ABV/stp_samples/run_00000.trace.cond_021513_0x7c80ab56_00,,3,2.1,,4,3.9,,3,1.57,,3,2.17
QF_ABV/stp_samples/run_00000.trace.cond_021516_0x7c80ab62_00,,3,3.63,,3,2.5,,3,1.72,,3,1.93
QF_ABV/stp_samples/run_00000.trace.cond_021524_0x7c80ab81_00,,3,3.38,,4,3.32,,3,1.62,,3,2.36
QF_ABV/stp_samples/run_00000.trace.cond_021528_0x7c80ab8f_00,,3,3.07,,4,3.36,,3,1.66,,3,1.78
QF_ABV/stp_samples/run_00000.trace.cond_021530_0x7c80ab96_00,,3,2.83,,4,3.15,,3,1.36,,3,2.39
QF_ABV/stp_samples/run_00000.trace.cond_021534_0x7c80aba4_00,,3,3.42,,4,3.18,,3,1.76,,3,2.19
QF_ABV/stp_samples/run_00000.trace.cond_022152_0x7c80a939_00,,3,3.72,,4,3.55,,3,1.7,,3,2.19
QF_ABV/stp_samples/run_00000.trace.cond_022198_0x7c80ab39_00,,3,3.31,,4,3.65,,3,1.71,,3,2.43
QF_ABV/stp_samples/run_00000.trace.cond_022207_0x7c80ab56_00,,3,3.39,,4,3.23,,3,1.67,,3,2.07
QF_ABV/stp_samples/run_00000.trace.cond_022301_0x9503aad_00,,3,3.66,,8,7.95,,3,2.08,,3,2.3
QF_ABV/stp_samples/run_00000.trace.cond_022628_0x9502edb_00,,3,2.79,,7,7.97,,3,2.1,,3,2.65
QF_ABV/stp_samples/run_00000.trace.cond_022643_0x9502eaf_00,,3,4.37,,7,7.73,,3,2.23,,3,2.23
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__014071,,3,1.14,,37,13.41,,3,0.33,,2,0.73
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015045,,2,1.36,,2,0.99,,2,0.95,,2,1.22
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015532,,2,1.83,,2,1.44,,2,0.95,,2,1.26
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__016019,,2,2.18,,2,1.91,,3,1.47,,2,1.56
QF_ABV/stp_samples/run_00007.trace.cond_014512_0x950130a_00,,3,1.11,,4,1.49,,3,0.92,,3,1.19
QF_ABV/stp_samples/run_00007.trace.cond_014534_0x95026e6_00,,2,1.15,,3,1.18,,3,1.11,,2,0.99
,,,,,,,,,,,,
