Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app12/bench_3403,,4,18.86,,5,13.95,,5,6.93,,5,10.02
QF_BV/sage/app12/bench_3414,,4,15.51,,5,14.88,,5,7.33,,5,10.68
QF_BV/sage/app12/bench_3425,,5,20.91,,5,14.63,,6,9.25,,5,8.06
QF_BV/sage/app12/bench_3447,,1,2.71,,1,2.45,,1,2.04,,1,2.34
QF_BV/sage/app12/bench_3459,,5,21.83,,6,18.71,,6,8.51,,5,11.05
QF_BV/sage/app12/bench_3470,,5,21.93,,6,21.24,,6,7.79,,5,10.17
QF_BV/sage/app12/bench_3481,,5,21.37,,6,16.46,,6,7.7,,5,9.18
QF_BV/sage/app12/bench_3558,,1,3.16,,1,1.75,,1,1.74,,1,2.64
QF_BV/sage/app12/bench_359,,1,3.13,,1,1.87,,1,1.9,,1,3.72
QF_BV/sage/app12/bench_3592,,5,19.95,,8,21.25,,5,6.33,,5,8.75
QF_BV/sage/app12/bench_3703,,5,19.36,,5,14.36,,6,7.51,,5,14.49
QF_BV/sage/app12/bench_381,,1,2.75,,1,1.82,,1,2.27,,1,2.55
QF_BV/sage/app12/bench_3836,,5,16.33,,6,13.8,,6,6.77,,5,8.43
QF_BV/sage/app12/bench_392,,1,2.69,,1,1.45,,1,2.14,,1,3.71
QF_BV/sage/app12/bench_4114,,5,18.98,,6,13.48,,5,9.87,,5,8.14
QF_BV/sage/app12/bench_4202,,5,20.26,,6,14.34,,5,7.09,,5,8.78
QF_BV/sage/app12/bench_448,,1,2.5,,1,1.93,,1,1.95,,1,2.54
QF_BV/sage/app12/bench_459,,1,2.85,,1,2.02,,1,2.37,,1,3.75
QF_BV/sage/app12/bench_4681,,5,18.68,,7,21.28,,6,7.82,,5,12.71
QF_BV/sage/app12/bench_5258,,5,19.73,,7,24.17,,7,7.5,,5,12.05
QF_BV/sage/app12/bench_5324,,5,18.61,,7,21.3,,6,12.51,,5,10.57
QF_BV/sage/app12/bench_5327,,5,18.62,,7,18.52,,6,7.73,,5,8.47
QF_BV/sage/app12/bench_5328,,5,17.95,,7,20.13,,6,7.02,,5,8.72
QF_BV/sage/app12/bench_5329,,5,19.42,,6,15.23,,5,8.58,,6,10.69
QF_BV/sage/app12/bench_5333,,5,20.64,,6,14.72,,6,7.7,,5,9.2
QF_BV/sage/app12/bench_5334,,5,18.55,,7,20.29,,6,6.66,,5,9.96
QF_BV/sage/app12/bench_5335,,5,18.61,,6,13.34,,6,6.85,,5,11.89
QF_BV/sage/app12/bench_5348,,5,17.85,,6,15.52,,6,7.09,,5,10.2
QF_BV/sage/app12/bench_5349,,5,18.54,,7,20.46,,7,7.97,,5,13.25
