Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app12/bench_381,,1,2.75,,1,1.82,,1,2.27,,1,2.55
QF_BV/sage/app12/bench_3836,,8,25.61,,11,23.39,,16,15.03,,8,12.57
QF_BV/sage/app12/bench_392,,1,2.69,,1,1.45,,1,2.14,,1,3.71
QF_BV/sage/app12/bench_4114,,9,31.22,,11,23.05,,12,21.49,,9,12.86
QF_BV/sage/app12/bench_4202,,9,33.38,,11,23.74,,14,14.94,,8,12.98
QF_BV/sage/app12/bench_448,,1,2.5,,1,1.93,,1,1.95,,1,2.54
QF_BV/sage/app12/bench_459,,1,2.85,,1,2.02,,1,2.37,,1,3.75
QF_BV/sage/app12/bench_4681,,8,28.04,,9,26.39,,17,17.14,,9,19.63
QF_BV/sage/app12/bench_5258,,9,33.2,,9,29.85,,17,17.56,,9,18.8
QF_BV/sage/app12/bench_5324,,8,28.4,,9,26.44,,12,21.74,,10,17.48
QF_BV/sage/app12/bench_5327,,8,27.17,,9,23.08,,18,18.01,,9,13.66
QF_BV/sage/app12/bench_5328,,8,26.74,,9,25.13,,17,15.7,,9,13.77
QF_BV/sage/app12/bench_5329,,8,28.67,,11,26.01,,15,22.87,,9,14.78
QF_BV/sage/app12/bench_5333,,9,34.38,,11,24.79,,26,25.27,,9,14.02
QF_BV/sage/app12/bench_5334,,9,31.32,,9,25.17,,16,14.37,,9,15.66
QF_BV/sage/app12/bench_5335,,8,27.63,,11,22.6,,19,16.94,,9,18.73
QF_BV/sage/app12/bench_5348,,8,26.1,,11,25.85,,18,16.9,,9,14.72
QF_BV/sage/app12/bench_5349,,8,28.17,,9,26.44,,25,21.91,,9,21.09
QF_BV/sage/app12/bench_5350,,9,29.76,,11,24.18,,12,12.59,,9,14.7
QF_BV/sage/app12/bench_5354,,8,27.82,,9,24.86,,14,15.01,,9,12.1
QF_BV/sage/app12/bench_5361,,8,29.63,,9,26.32,,15,12.84,,9,16.65
QF_BV/sage/app12/bench_5365,,8,26.87,,11,23.57,,14,25.84,,8,15.39
QF_BV/sage/app12/bench_5367,,10,36.64,,15,43.08,,32,28.26,,11,17.22
QF_BV/sage/app12/bench_5369,,13,47.52,,16,40.65,,40,36.05,,12,18.1
QF_BV/sage/app12/bench_5370,,10,40.33,,14,40.94,,21,23.83,,10,21.52
QF_BV/sage/app12/bench_5371,,9,33.29,,12,36.3,,14,15.27,,9,16.1
QF_BV/sage/app12/bench_5372,,10,33.45,,11,21.31,,19,18.76,,11,19.72
QF_BV/sage/app12/bench_5373,,9,36.92,,11,26.41,,15,18.33,,10,16.59
QF_BV/sage/app12/bench_5377,,9,36.02,,14,37.54,,44,46.95,,10,16.01
QF_BV/sage/app12/bench_5378,,9,33.53,,12,27.54,,17,19.97,,9,15.1
QF_BV/sage/app12/bench_5379,,10,36.37,,13,36.22,,40,34.92,,10,15.94
QF_BV/sage/app12/bench_5390,,9,32.38,,--,--,,24,40.79,,9,14.57
QF_BV/sage/app12/bench_5401,,9,30.7,,15,37.86,,13,15.66,,11,17.74
