Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app12/bench_2113,,1,2.56,,1,0.38,,1,0.36,,1,0.18
QF_BV/sage/app12/bench_237,,1,2.7,,1,0.53,,1,0.33,,1,0.18
QF_BV/sage/app12/bench_259,,1,2.39,,1,0.45,,1,0.43,,1,0.18
QF_BV/sage/app12/bench_2625,,7,21.6,,104,191.72,,94,182.42,,10,1.83
QF_BV/sage/app12/bench_2714,,6,20.61,,33,150.79,,105,179.44,,10,1.92
QF_BV/sage/app12/bench_2780,,1,2.83,,1,0.71,,1,0.49,,1,0.19
QF_BV/sage/app12/bench_281,,1,2.78,,1,0.39,,1,0.42,,1,0.18
QF_BV/sage/app12/bench_2847,,7,22.66,,109,187.99,,108,199.47,,9,1.71
QF_BV/sage/app12/bench_2869,,7,22.06,,107,170.24,,117,159.98,,9,1.67
QF_BV/sage/app12/bench_2892,,6,19.79,,77,240.42,,76,236.11,,8,1.55
QF_BV/sage/app12/bench_2914,,6,18.87,,97,212.55,,76,237.71,,9,1.74
QF_BV/sage/app12/bench_2969,,6,19.79,,38,183.95,,43,318.38,,9,1.59
QF_BV/sage/app12/bench_3,,1,2.65,,1,0.45,,1,0.47,,1,0.21
QF_BV/sage/app12/bench_3014,,6,18.26,,46,182.02,,31,239.69,,9,1.79
QF_BV/sage/app12/bench_3113,,1,2.42,,1,0.44,,1,0.35,,1,0.2
QF_BV/sage/app12/bench_3202,,7,22.49,,33,142.82,,76,238.73,,11,1.91
QF_BV/sage/app12/bench_3236,,6,19.75,,74,221.82,,99,183.46,,10,1.85
QF_BV/sage/app12/bench_3247,,7,22.96,,100,215.92,,82,237.4,,10,1.78
QF_BV/sage/app12/bench_3258,,7,20.99,,106,186.42,,115,178.61,,11,2.02
QF_BV/sage/app12/bench_3291,,6,19.92,,32,178.93,,116,152.36,,9,1.72
QF_BV/sage/app12/bench_3324,,7,21.52,,30,166.52,,105,176.2,,12,2.49
QF_BV/sage/app12/bench_3337,,6,19.73,,68,168.97,,82,237.57,,11,2.1
QF_BV/sage/app12/bench_3359,,8,30.49,,96,219.33,,78,220.49,,18,3.71
QF_BV/sage/app12/bench_336,,1,3.05,,1,0.39,,1,0.35,,1,0.22
QF_BV/sage/app12/bench_3381,,8,35.55,,96,236.53,,96,269.55,,19,8.48
QF_BV/sage/app12/bench_3392,,7,27.75,,82,266.47,,89,308.94,,13,2.89
QF_BV/sage/app12/bench_3403,,7,30.36,,72,405.3,,71,629.07,,15,3.16
QF_BV/sage/app12/bench_3414,,7,25.38,,110,341.34,,109,463.71,,14,2.6
QF_BV/sage/app12/bench_3425,,7,28.71,,116,413.06,,129,303.78,,15,3.27
QF_BV/sage/app12/bench_3447,,1,2.71,,1,0.47,,1,0.41,,1,0.18
QF_BV/sage/app12/bench_3459,,8,32.75,,143,318.53,,143,314.82,,17,3.65
QF_BV/sage/app12/bench_3470,,8,32.64,,101,311.97,,131,303.94,,11,2.15
QF_BV/sage/app12/bench_3481,,8,32.66,,70,290.62,,105,307.22,,17,3.61
QF_BV/sage/app12/bench_3558,,1,3.16,,1,0.44,,1,0.38,,1,0.18
QF_BV/sage/app12/bench_359,,1,3.13,,1,0.59,,1,0.35,,1,0.19
QF_BV/sage/app12/bench_3592,,8,28.94,,154,323.98,,162,352.85,,16,3.56
QF_BV/sage/app12/bench_3703,,8,28.82,,104,313.48,,85,355.66,,15,3.09
QF_BV/sage/app12/bench_381,,1,2.75,,1,0.52,,1,0.43,,1,0.17
QF_BV/sage/app12/bench_3836,,8,25.61,,96,279.27,,56,537.96,,21,4.25
QF_BV/sage/app12/bench_392,,1,2.69,,1,0.41,,1,0.41,,1,0.19
QF_BV/sage/app12/bench_4114,,9,31.22,,54,269.17,,54,413.15,,14,2.87
QF_BV/sage/app12/bench_4202,,9,33.38,,131,207.95,,127,191.9,,13,2.65
QF_BV/sage/app12/bench_448,,1,2.5,,1,0.51,,1,0.41,,1,0.17
QF_BV/sage/app12/bench_459,,1,2.85,,1,0.42,,1,0.32,,1,0.17
QF_BV/sage/app12/bench_4681,,8,28.04,,47,219.21,,128,315.56,,21,4.22
QF_BV/sage/app12/bench_5258,,9,33.2,,107,179.82,,148,267.17,,20,4.29
QF_BV/sage/app12/bench_5324,,8,28.4,,136,220.14,,116,257.21,,17,3.53
QF_BV/sage/app12/bench_5327,,8,27.17,,137,240.63,,139,255.75,,22,4.56
QF_BV/sage/app12/bench_5328,,8,26.74,,142,248.0,,129,294.28,,13,2.54
QF_BV/sage/app12/bench_5329,,8,28.67,,143,245.58,,127,279.47,,16,3.45
QF_BV/sage/app12/bench_5333,,9,34.38,,68,313.71,,144,248.18,,28,5.83
QF_BV/sage/app12/bench_5334,,9,31.32,,137,237.38,,130,203.97,,22,4.59
QF_BV/sage/app12/bench_5335,,8,27.63,,126,192.59,,123,277.22,,28,5.82
QF_BV/sage/app12/bench_5348,,8,26.1,,129,234.98,,115,246.0,,20,4.02
QF_BV/sage/app12/bench_5349,,8,28.17,,53,256.87,,139,252.77,,20,3.9
QF_BV/sage/app12/bench_5350,,9,29.76,,115,229.66,,129,298.67,,12,2.48
QF_BV/sage/app12/bench_5354,,8,27.82,,134,232.87,,145,349.72,,19,3.86
