Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app1/bench_880,,2,96.4,,6,39.92,,19,115.56,,--,--
QF_BV/sage/app1/bench_914,,2,86.22,,2,24.39,,21,170.46,,--,--
QF_BV/sage/app1/bench_926,,3,29.76,,144,721.37,,82,346.08,,3,348.52
QF_BV/sage/app1/bench_947,,2,75.12,,7,69.88,,25,124.81,,--,--
QF_BV/sage/app1/bench_983,,3,28.63,,335,1500.29,,650,2313.63,,3,262.32
QF_BV/sage/app1/bench_985,,3,31.53,,170,1089.04,,170,747.88,,3,370.11
QF_BV/sage/app1/bench_987,,3,28.56,,127,789.47,,180,838.2,,3,456.5
QF_BV/sage/app1/bench_989,,3,28.75,,196,1123.58,,178,743.01,,3,489.7
QF_BV/sage/app1/bench_99,,2,36.98,,19,85.52,,109,580.86,,3,3026.38
QF_BV/sage/app1/bench_992,,3,28.33,,183,851.43,,117,503.83,,3,324.85
QF_BV/sage/app1/bench_994,,3,30.44,,33,127.8,,182,700.89,,3,502.02
QF_BV/sage/app1/bench_996,,3,30.3,,174,852.77,,44,256.95,,3,490.76
QF_BV/sage/app1/bench_998,,3,31.09,,712,2857.84,,186,654.11,,3,360.06
QF_BV/sage/app12/bench_103,,1,3.04,,1,0.48,,1,0.42,,1,0.18
QF_BV/sage/app12/bench_1058,,1,3.0,,1,0.42,,1,0.43,,1,0.17
QF_BV/sage/app12/bench_1181,,1,2.58,,1,0.62,,1,0.35,,1,0.19
QF_BV/sage/app12/bench_1203,,1,2.68,,1,0.4,,1,0.45,,1,0.17
QF_BV/sage/app12/bench_1226,,1,2.57,,1,0.47,,1,0.46,,1,0.17
QF_BV/sage/app12/bench_1281,,1,3.36,,1,0.45,,1,0.32,,1,0.2
QF_BV/sage/app12/bench_1325,,1,2.95,,1,0.45,,1,0.35,,1,0.19
QF_BV/sage/app12/bench_1448,,1,2.64,,1,0.4,,1,0.42,,1,0.17
QF_BV/sage/app12/bench_1459,,1,2.96,,1,0.51,,1,0.35,,1,0.16
QF_BV/sage/app12/bench_1470,,1,3.01,,1,0.39,,1,0.35,,1,0.17
QF_BV/sage/app12/bench_1503,,1,2.44,,1,0.37,,1,0.4,,1,0.17
QF_BV/sage/app12/bench_1536,,1,2.47,,1,0.38,,1,0.32,,1,0.18
QF_BV/sage/app12/bench_1547,,1,2.69,,1,0.37,,1,0.32,,1,0.17
QF_BV/sage/app12/bench_1570,,1,5.17,,1,5.87,,1,10.56,,1,0.21
QF_BV/sage/app12/bench_1592,,1,4.82,,1,5.68,,1,10.58,,1,0.23
