Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_kill.close_stdout_set_file_name.il.dwp,,13,1.31,,5,0.82,,8,0.95,,4,1.47
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_hostid.set_quoting_style.il.fse-bfs,,3,0.37,,3,0.62,,3,1.36,,3,2.4
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.bkm_scale.il.fse-bfs,,4,0.62,,4,2.43,,3,3.47,,3,7.94
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.set_quoting_style.il.fse-bfs,,4,0.52,,3,0.64,,3,1.62,,3,2.26
QF_ABV/dwp_formulas/try3_true_functions_dwp_echo.set_char_quoting.il.dwp,,49,2.78,,24,2.34,,7,0.51,,12,1.16
QF_ABV/dwp_formulas/try3_true_functions_dwp_expr.set_char_quoting.il.dwp,,49,3.06,,6,0.44,,5,0.42,,4,0.72
QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_char_quoting.il.dwp,,49,2.78,,8,0.53,,9,0.63,,7,0.74
QF_ABV/dwp_formulas/try3_true_functions_dwp_whoami.set_quoting_style.il.dwp,,405,7.57,,6,0.19,,4,0.18,,6,0.58
QF_ABV/dwp_formulas/try4_true_functions_dwp_nl.get_quoting_style.il.dwp,,360,5.95,,4,0.13,,5,0.19,,5,0.23
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_echo.set_quoting_style.il.dwp,,3,4.73,,3,5.13,,3,7.03,,3,15.06
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_factor.close_stdout_set_file_name.il.dwp,,3,0.37,,2,0.4,,3,0.59,,3,1.46
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_touch.close_stdout_set_file_name.il.fse-bfs,,3,0.22,,2,0.29,,3,0.41,,3,1.14
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_vdir.strmode.il.fse-bfs,,4,6.85,,4,12.38,,3,14.31,,3,37.9
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_mkdir.set_quoting_style.il.dwp,,405,10.1,,5,0.15,,6,0.23,,5,0.41
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.rev_xstrcoll_size.il.dwp,,4,6.01,,4,4.63,,3,8.19,,3,18.24
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.strcmp_ctime.il.dwp,,4,3.78,,4,5.18,,3,5.45,,3,16.47
QF_ABV/dwp_formulas/try5_small_noof_functions_wp_stat.set_char_quoting.il.wp,,8,8.76,,6,5.82,,6,9.87,,5,20.8
QF_ABV/egt/egt-0474,,2,0.08,,2,0.16,,2,0.18,,2,0.46
QF_ABV/egt/egt-1526,,2,0.06,,2,0.17,,2,0.23,,2,0.5
QF_ABV/egt/egt-1550,,4,0.17,,3,0.21,,2,0.2,,2,0.52
QF_ABV/egt/egt-4211,,2,0.1,,2,0.2,,2,0.21,,2,0.49
QF_ABV/egt/egt-6650,,2,0.06,,2,0.12,,2,0.13,,2,0.21
QF_ABV/egt/egt-7155,,--,--,,2,0.25,,2,0.24,,--,--
QF_ABV/platania/no_init_simple_member/no_init_simple_member2,,--,--,,2,0.22,,2,0.26,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021458_0x7c80a939_00,,3,1.35,,3,1.86,,3,2.4,,3,4.01
QF_ABV/stp_samples/run_00000.trace.cond_021487_0x7c80aacd_00,,3,1.71,,3,1.52,,3,3.07,,3,6.13
QF_ABV/stp_samples/run_00000.trace.cond_021513_0x7c80ab56_00,,3,2.0,,3,2.22,,3,2.1,,3,5.02
QF_ABV/stp_samples/run_00000.trace.cond_021516_0x7c80ab62_00,,3,1.92,,3,1.8,,3,3.63,,3,4.1
QF_ABV/stp_samples/run_00000.trace.cond_021524_0x7c80ab81_00,,3,1.76,,3,1.82,,3,3.38,,3,3.8
QF_ABV/stp_samples/run_00000.trace.cond_021528_0x7c80ab8f_00,,3,2.06,,3,1.94,,3,3.07,,3,6.44
QF_ABV/stp_samples/run_00000.trace.cond_021530_0x7c80ab96_00,,3,1.49,,3,1.73,,3,2.83,,3,4.14
QF_ABV/stp_samples/run_00000.trace.cond_021534_0x7c80aba4_00,,3,2.09,,3,2.03,,3,3.42,,3,7.73
QF_ABV/stp_samples/run_00000.trace.cond_022152_0x7c80a939_00,,3,2.13,,3,1.97,,3,3.72,,3,3.77
QF_ABV/stp_samples/run_00000.trace.cond_022198_0x7c80ab39_00,,3,2.1,,3,2.31,,3,3.31,,3,4.29
QF_ABV/stp_samples/run_00000.trace.cond_022207_0x7c80ab56_00,,3,2.05,,3,1.94,,3,3.39,,3,6.13
QF_ABV/stp_samples/run_00000.trace.cond_022301_0x9503aad_00,,3,2.34,,3,2.6,,3,3.66,,3,7.94
QF_ABV/stp_samples/run_00000.trace.cond_022628_0x9502edb_00,,4,3.27,,3,2.78,,3,2.79,,3,7.23
QF_ABV/stp_samples/run_00000.trace.cond_022643_0x9502eaf_00,,4,4.25,,3,3.78,,3,4.37,,3,5.76
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__014071,,6,1.38,,3,0.77,,3,1.14,,--,--
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015045,,2,0.88,,2,0.99,,2,1.36,,2,2.18
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015532,,2,1.06,,2,1.13,,2,1.83,,2,2.46
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__016019,,2,1.21,,2,1.13,,2,2.18,,2,4.58
QF_ABV/stp_samples/run_00007.trace.cond_014512_0x950130a_00,,3,0.78,,3,0.97,,3,1.11,,3,2.32
QF_ABV/stp_samples/run_00007.trace.cond_014534_0x95026e6_00,,3,1.01,,2,0.77,,2,1.15,,2,1.67
,,,,,,,,,,,,
